company,projectName,location,country,industry,region,type,services,date,completed,description,lat,lng
Gail (India) Limited,Hiring of services for side scan sonar survey in major waterbody crossings of ng pipelines in KG basin,"KG BASIN, andhra pradesh, INDIA",India,Oil & Gas,Asia,Geophysical Survey,Geophysical Survey,01-04-2026,,Hiring of services for side scan sonar survey in major waterbody crossings of ng pipelines in KG basin.,16.9891,82.2475
Larsen & Toubro Limited (Construction),Geophysical Survey at Ullas River,"Ullas River, Maharashtra",India,Engineering & Construction,Asia,Geophysical Survey,Geophysical Survey,01-02-2026,Completed in Mar 2026,Geophysical Survey at Ullas River. (Completed in Mar 2026),19.2183,73.0525
E-Marine PJSC,"Hiring of Dive Swim, Topographic & Inshore Survey Services at Barka, Oman.",Oman,Oman,Submarine Cable Contractors,Middle East,Topographic AND Inshore Survey,Topographic Survey; Bathymetry Survey,01-11-2025,Completed in Feb 2026,"Hiring of Dive Swim, Topographic & Inshore Survey Services at Barka, Oman (Completed in Feb 2026)",23.6,58.5
Cemindia Projects Limited,"Multibeam Bathymetry Survey Breakwater, Vizhinjam, Kerala","Vizhinjam, Kerala",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-09-2025,,"Multibeam Bathymetry Survey Breakwater, Vizhinjam, Kerala.",8.378,76.99
EGS Survey Middle East LLC FZ,Hire of Personnel,Singapore,Singapore,Submarine Cable Contractors,Asia,Desktop Study,Desktop Study for Offshore Projects; Submarine Cable Route Surveys,01-08-2025,Completed in Dec 2025,Hire of Personnel. (Completed in Dec 2025),1.3521,103.8198
Tridel Meteorology Projects Contracting LLC,Hiring of Personnel and Equipment for survey project in Bahrain,Bahrain,Bahrain,Survey & Geoscience Contractors,Middle East,Desktop Study AND Equipment for survey,Desktop Study for Offshore Projects,01-08-2025,Completed in Dec 2025,Hiring of Personnel and Equipment for survey project in Bahrain. (Completed in Dec 2025),26.07,50.56
Sadhav Shipping Ltd.,Inspection of Multibeam System (ELAC 1185 system),Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-07-2025,,Inspection of Multibeam System (ELAC 1185 system).,19.076,72.8777
The Shipping Corporation of India,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK.,survey,India,"Government, Defence & Public Sector",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-06-2025,,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK,19.076,72.8777
Inland Waterways Authority of India,"Detailed Hydrographic Surveys for various National Waterways (NW-10, NW-28 & NW-53) in Maharashtra","National Waterways, India",India,"Government, Defence & Public Sector",Asia,Hydrographic Surveys,Bathymetry Survey,01-06-2025,Completed in Apr 2026,"Detailed Hydrographic Surveys for various National Waterways (NW-10, NW-28 & NW-53) in Maharashtra. (Completed in Apr 2026)",24,82
EGS Survey Middle East LLC FZ,Hire of Personnel,Not specified,India,Submarine Cable Contractors,Asia,Desktop Study,Desktop Study for Offshore Projects; Submarine Cable Route Surveys,01-05-2025,Completed in Jun 2025,Hire of Personnel. (Completed in Jun 2025),19.076,72.8777
Ultra Dimensions Pvt. Ltd.,Bathymetry Survey with MBES at SBC Visakhapatnam,"Visakhapatnam, Andhra Pradesh",India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-05-2025,Completed in Jun 2025,Bathymetry Survey with MBES at SBC Visakhapatnam. (Completed in Jun 2025),17.687,83.219
IndoAsia Copper Limited,Bathymetry Survey (Jafrabad to Victor Port),"Jafrabad, Gujarat",India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2025,Completed in Apr 2025,Bathymetry Survey (Jafrabad to Victor Port). (Completed in Apr 2025),20.87,71.37
Afcons Infrastructure Limited,Bathymetry Survey Work at AMCSWF Project,"Mundra, Gujarat",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-03-2025,Completed in Jun 2025,Bathymetry Survey Work at AMCSWF Project. (Completed in Jun 2025),22.839,69.721
Shanker Survey Pvt. Ltd.,Hire of Equipment and Personnel (Assam),Assam,India,Survey & Geoscience Contractors,Asia,Hire of Equipment,Bathymetry Survey,01-03-2025,Completed in Mar 2025,Hire of Equipment and Personnel (Assam). (Completed in Mar 2025),26.14,91.73
Shanker Survey Pvt. Ltd.,Hire of Equipment and Personnel (Chhara),"Chhara, Gujarat",India,Survey & Geoscience Contractors,Asia,Hire of Equipment,Bathymetry Survey,01-01-2025,Completed in Apr 2025,Hire of Equipment and Personnel (Chhara). (Completed in Apr 2025),20.72,71.53
IndoAsia Copper Limited,Bathymetry Survey (Victor Port),"Jafrabad, Gujarat",India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-12-2024,Completed in Mar 2025,Bathymetry Survey (Victor Port). (Completed in Mar 2025),20.87,71.37
Navitech Hydrographics (India) Pvt. Ltd.,Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Hire of Equipment,Bathymetry Survey,01-11-2024,Completed in Nov 2024,Hire of Equipment and Personnel. (Completed in Nov 2024),19.076,72.8777
Geostar Surveys India Pvt. Ltd.,Provision of GeoSwath Multibeam Echosounder Operator / Processor,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-11-2024,Completed in Nov 2024,Provision of GeoSwath Multibeam Echosounder Operator / Processor. (Completed in Nov 2024),19.076,72.8777
Shankar Survey Pvt. Ltd.,Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Hire of Equipment,Bathymetry Survey,01-11-2024,Completed in Oct 2024,Hire of Equipment and Personnel. (Completed in Oct 2024),19.076,72.8777
Telecommunications Consultants India Limited,Consultancy partner for DPR preparation on indigenous submarine cable repair facility in India,Not specified,India,Telecom Operators & Cable Owners,Asia,DPR Preparation,DPR Preparation for Offshore Industry,01-08-2024,Completed in Nov 2025,Consultancy partner for DPR preparation on indigenous submarine cable repair facility in India. (Completed in Nov 2025),28.6139,77.209
Zenith Survey (I) Pvt. Ltd.,Hire of Equipment and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Hire of Equipment AND Geophysical Survey,Geophysical Survey,01-05-2024,Completed in May 2024,Hire of Equipment and Personnel. (Completed in May 2024),19.076,72.8777
AMNS Port Hazira Limited,Magnetometer and Multibeam survey,"Hazira, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-05-2024,Completed in May 2024,Magnetometer and Multibeam survey. (Completed in May 2024),21.114,72.617
Geostar Surveys India Pvt. Ltd.,Hire of ADCP and Personnel,Not specified,India,Survey & Geoscience Contractors,Asia,Bathymetry Survey,Bathymetry Survey,01-05-2024,Completed in May 2024,Hire of ADCP and Personnel. (Completed in May 2024),19.076,72.8777
SAExploration Inc-Marine,DGPS and GYRO verification for 3 vessels at Mumbai Port,"Mumbai, Maharashtra",India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-02-2024,Completed in February 2024,DGPS and GYRO verification for 3 vessels at Mumbai Port. (Completed in February 2024),18.95,72.9
The Shipping Corporation of India,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK.,Not specified,India,"Government, Defence & Public Sector",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-01-2024,Completed in Jun 2025,Provision of INMARSAT based differential global positioning system for ONGC owned Geotechnical Vessel (GTV) SAMUDRA SARVEKSHAK (Completed in Jun 2025),19.076,72.8777
EGS (Asia) Limited,Provision of Personnel Support onboard EGS Surveyor (Singapore),Singapore,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2024,Completed in February 2024,Provision of Personnel Support onboard EGS Surveyor (Singapore). (Completed in February 2024),1.35,103.82
Adani Hazira Port Ltd.,"Acoustic Doppler Current Profiler (ADCP), Geophysical (Sub-bottom profiler) Survey & Multibeam Bathymetry survey works at South Gujarat Coast (Bhagod & Nargol)","Hazira, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-10-2023,Completed ADCP work in March 2024,"Acoustic Doppler Current Profiler (ADCP), Geophysical (Sub-bottom profiler) Survey & Multibeam Bathymetry survey works at South Gujarat Coast (Bhagod & Nargol). (Completed ADCP work in March 2024)",21.114,72.617
